Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,ML,Close,,,,,,
722,909,V,CLE,DLAMET-R,0,2,1,0,1,2,0,1,0,7,-165,-172,,,,,,
722,910,H,TOR,NSYNDERGAARD-R,0,1,0,0,2,0,0,0,0,3,144,161,,,,,,
722,911,V,BOS,DPRICE-L,0,0,7,1,0,0,0,0,1,9,-110,-122,,,,,,
722,912,H,TAM,CMORTON-R,0,0,0,0,0,0,0,3,1,4,-110,112,,,,,,
722,913,V,NYY,CBASSITT-R,0,0,2,1,2,1,0,0,0,6,-113,-115,,,,,,
722,914,H,MIN,JVERLANDER-R,2,0,3,2,0,1,0,0,0,8,-107,105,,,,,,
722,915,V,OAK,MMINOR-L,0,0,0,1,0,0,0,0,0,1,192,240,,,,,,
722,916,H,HOU,MLEAKE-R,0,4,7,0,0,0,0,0,0,11,-230,-270,,,,,,
722,917,V,TEX,SBIEBER-R,1,1,0,0,0,0,0,0,1,3,120,103,,,,,,
722,918,H,SEA,MSTROMAN-R,0,3,0,2,0,1,0,1,0,7,-140,-113,,,,,,
722,919,V,MIA,JHAPP-L,0,1,0,0,0,0,0,0,0,1,118,-102,,,,,,
722,920,H,CWS,JODORIZZI-R,2,0,2,0,3,2,0,0,0,9,-138,-108,,,,,,
722,921,V,BAL,VVELASQUEZ-R,0,1,0,0,2,0,0,0,0,3,192,215,,,,,,
722,922,H,ARI,JZIMMERMANN-R,3,0,2,1,0,0,0,0,0,6,-230,-245,,,,,,
723,951,V,STL,DHUDSON-R,0,1,2,0,1,0,0,0,0,4,100,127,,,,,,
723,952,H,PIT,CARCHER-R,3,0,0,0,0,0,0,0,0,3,-120,-137,,,,,,
723,953,V,COL,PLAMBERT-R,0,0,0,0,0,0,0,0,1,1,155,205,,,,,,
723,954,H,WAS,SSTRASBURG-R,2,0,0,0,0,1,8,0,0,11,-180,-230,,,,,,
723,955,V,SDG,CPADDACK-R,0,0,0,0,0,0,0,1,1,2,-130,-137,,,,,,
723,956,H,NYM,JVARGAS-L,0,0,0,1,0,2,2,0,0,5,110,127,,,,,,
723,957,V,CIN,TROARK-R,4,0,0,0,5,2,3,0,0,14,120,139,,,,,,
723,958,H,MIL,ZDAVIES-R,0,0,0,0,2,3,0,1,0,6,-140,-149,,,,,,
723,959,V,CUB,YDARVISH-R,1,0,1,0,0,0,1,1,0,4,-105,-102,,,,,,
723,960,H,SFO,MBUMGARNER-L,0,1,0,3,0,0,0,0,0,5,-115,-108,,,,,,
723,961,V,CLE,TBAUER-R,0,0,1,0,0,0,0,0,0,1,-165,-174,,,,,,
723,962,H,TOR,ASANCHEZ-R,0,0,0,0,0,0,0,0,1,2,144,162,,,,,,
723,963,V,BOS,CSALE-L,2,0,0,0,0,0,1,2,0,5,-150,-155,,,,,,
723,964,H,TAM,YCHIRINOS-R,0,0,2,0,0,0,0,0,2,4,130,145,,,,,,
723,965,V,NYY,DGERMAN-R,2,0,0,0,3,0,0,5,2,14,-120,-122,,,,,,
723,966,H,MIN,KGIBSON-R,0,1,2,5,1,0,0,2,1,12,100,112,,,,,,
723,967,V,OAK,MFIERS-R,0,0,0,0,0,0,0,0,3,4,135,145,,,,,,
723,968,H,HOU,WMILEY-L,0,2,0,0,0,0,0,0,1,3,-155,-155,,,,,,
723,969,V,TEX,BMARTIN-L,1,2,3,0,0,0,0,1,0,7,105,110,,,,,,
723,970,H,SEA,TMILONE-L,1,0,0,0,1,0,0,0,0,2,-125,-120,,,,,,
723,971,V,PHI,ANOLA-R,0,2,0,0,0,0,0,0,0,3,-150,-137,,,,,,
723,972,H,DET,MBOYD-L,1,0,0,0,0,1,0,0,0,2,130,127,,,,,,
723,973,V,KAN,DDUFFY-L,0,0,0,1,0,1,0,3,0,5,188,210,,,,,,
